date,wind_speed,pressure,wave_height,water_level,label
2015-01-01 00:00:00,3.04,1009.38,1.98,0.71,NORMAL
2015-01-01 06:00:00,3.74,1012.61,1.89,0.94,NORMAL
2015-01-01 12:00:00,4.5,1013.65,1.44,0.31,NORMAL
2015-01-01 18:00:00,7.62,1011.55,1.28,0.52,NORMAL
2015-01-02 00:00:00,6.96,1005.13,1.46,0.43,NORMAL
2015-01-02 06:00:00,7.21,1010.99,1.87,0.29,NORMAL
2015-01-02 12:00:00,2.69,1012.0,1.05,0.64,NORMAL
2015-01-02 18:00:00,5.78,1011.35,1.33,0.81,NORMAL
2015-01-03 00:00:00,4.16,1009.65,0.83,0.48,NORMAL
2015-01-03 06:00:00,7.2,1010.13,0.73,0.4,NORMAL
2015-01-03 12:00:00,7.5,1008.94,1.41,0.67,NORMAL
2015-01-03 18:00:00,3.92,1009.3,1.81,0.32,NORMAL
2015-01-04 00:00:00,5.12,1005.6,0.77,0.75,NORMAL
2015-01-04 06:00:00,5.49,1010.67,0.77,0.68,NORMAL
2015-01-04 12:00:00,5.14,1010.21,0.67,0.32,NORMAL
2015-01-04 18:00:00,3.25,1008.11,0.85,0.59,NORMAL
2015-01-05 00:00:00,6.83,1011.5,0.6,0.49,NORMAL
2015-01-05 06:00:00,5.86,1012.29,0.78,0.73,NORMAL
2015-01-05 12:00:00,5.67,1009.52,1.75,0.52,NORMAL
2015-01-05 18:00:00,3.81,1011.33,1.82,0.7,NORMAL
2015-01-06 00:00:00,5.88,1011.33,1.78,0.4,NORMAL
2015-01-06 06:00:00,7.71,1011.38,1.93,0.42,NORMAL
2015-01-06 12:00:00,4.88,1012.38,1.65,0.54,NORMAL
2015-01-06 18:00:00,5.65,1007.77,1.39,0.57,NORMAL
2015-01-07 00:00:00,6.01,1012.11,1.5,0.97,NORMAL
2015-01-07 06:00:00,2.42,1005.71,0.57,0.32,NORMAL
2015-01-07 12:00:00,4.86,1010.01,1.36,0.94,NORMAL
2015-01-07 18:00:00,2.1,1007.7,1.91,0.6,NORMAL
2015-01-08 00:00:00,2.33,1007.4,1.18,0.23,NORMAL
2015-01-08 06:00:00,6.15,1005.76,1.67,0.33,NORMAL
2015-01-08 12:00:00,4.48,1005.13,1.89,0.87,NORMAL
2015-01-08 18:00:00,5.59,1010.67,1.31,0.43,NORMAL
2015-01-09 00:00:00,6.18,1014.06,1.61,0.65,NORMAL
2015-01-09 06:00:00,5.02,1012.87,1.85,0.85,NORMAL
2015-01-09 12:00:00,5.46,1014.45,1.05,0.37,NORMAL
2015-01-09 18:00:00,5.81,1005.3,0.79,0.59,NORMAL
2015-01-10 00:00:00,2.67,1005.7,1.43,0.72,NORMAL
2015-01-10 06:00:00,6.8,1011.57,0.66,0.41,NORMAL
2015-01-10 12:00:00,2.63,1007.13,1.61,0.26,NORMAL
2015-01-10 18:00:00,4.03,1011.48,1.31,0.83,NORMAL
2015-01-11 00:00:00,7.94,1007.24,0.63,0.55,NORMAL
2015-01-11 06:00:00,4.19,1008.94,1.17,0.25,NORMAL
2015-01-11 12:00:00,3.08,1014.19,0.71,0.99,NORMAL
2015-01-11 18:00:00,2.7,1007.72,1.27,0.71,NORMAL
2015-01-12 00:00:00,3.18,1008.74,0.59,0.4,NORMAL
2015-01-12 06:00:00,7.03,1011.63,0.59,0.35,NORMAL
2015-01-12 12:00:00,4.03,1009.05,1.0,0.84,NORMAL
2015-01-12 18:00:00,3.92,1008.05,1.59,0.63,NORMAL
2015-01-13 00:00:00,4.37,1011.9,1.51,0.44,NORMAL
2015-01-13 06:00:00,3.56,1013.26,1.46,0.84,NORMAL
2015-01-13 12:00:00,3.79,1014.5,0.65,0.9,NORMAL
2015-01-13 18:00:00,2.64,1008.36,1.77,0.32,NORMAL
2015-01-14 00:00:00,3.91,1007.89,1.89,0.74,NORMAL
2015-01-14 06:00:00,5.86,1011.45,1.51,0.27,NORMAL
2015-01-14 12:00:00,5.98,1005.64,1.57,0.56,NORMAL
2015-01-14 18:00:00,3.37,1013.64,0.66,0.63,NORMAL
2015-01-15 00:00:00,7.3,1005.11,1.56,0.22,NORMAL
2015-01-15 06:00:00,4.64,1011.39,0.76,0.21,NORMAL
2015-01-15 12:00:00,7.6,1009.21,1.11,0.69,NORMAL
2015-01-15 18:00:00,2.25,1005.49,1.81,0.83,NORMAL
2015-01-16 00:00:00,6.53,1010.72,0.57,0.26,NORMAL
2015-01-16 06:00:00,3.54,1010.36,1.89,0.35,NORMAL
2015-01-16 12:00:00,7.5,1014.79,1.08,0.61,NORMAL
2015-01-16 18:00:00,2.62,1008.57,1.19,0.93,NORMAL
2015-01-17 00:00:00,5.08,1010.35,0.66,0.56,NORMAL
2015-01-17 06:00:00,6.78,1010.5,1.38,0.61,NORMAL
2015-01-17 12:00:00,3.08,1009.72,1.7,0.45,NORMAL
2015-01-17 18:00:00,5.16,1012.91,1.01,0.62,NORMAL
2015-01-18 00:00:00,6.47,1012.65,1.05,0.42,NORMAL
2015-01-18 06:00:00,6.93,1006.74,1.87,0.53,NORMAL
2015-01-18 12:00:00,5.62,1012.09,1.09,0.65,NORMAL
2015-01-18 18:00:00,7.2,1006.95,1.3,0.69,NORMAL
2015-01-19 00:00:00,3.6,1014.1,0.77,0.94,NORMAL
2015-01-19 06:00:00,4.42,1010.11,1.33,0.4,NORMAL
2015-01-19 12:00:00,6.8,1009.3,1.09,0.88,NORMAL
2015-01-19 18:00:00,5.58,1008.54,1.89,0.34,NORMAL
