name,start_date,end_date
Laila,2010-05-17,2010-05-17
Bandu,2010-05-19,2010-05-19
Phet,2010-05-31,2010-06-07
BOB 02,2010-10-07,2010-10-07
BOB 03,2010-10-13,2010-10-13
Giri,2010-10-20,2010-10-20
Jal,2010-11-01,2010-11-01
BOB 06,2010-12-07,2010-12-07
8 systems,2010-05-17,2010-12-08
BOB 01,2011-02-02,2011-02-02
ARB 01,2011-06-11,2011-06-11
BOB 02,2011-06-16,2011-06-16
LAND 01,2011-07-22,2011-07-22
BOB 03,2011-09-22,2011-09-22
BOB 04,2011-10-19,2011-10-19
Keila,2011-10-29,2011-11-04
ARB 03,2011-11-06,2011-11-10
ARB 04,2011-11-26,2011-12-01
Thane,2011-12-25,2011-12-31
10 systems,2011-02-02,2011-12-30
BOB 01,2012-10-10,2012-10-10
Murjan,2012-10-22,2012-10-22
Nilam,2012-10-28,2012-11-01
BOB 03,2012-11-17,2012-11-17
ARB 02,2012-12-22,2012-12-22
5 systems,2012-10-10,2012-12-25
Viyaru,2013-05-10,2013-05-10
BOB 02,2013-05-29,2013-05-29
BOB 03,2013-07-30,2013-08-01
LAND 01,2013-08-20,2013-08-20
Phailin,2013-10-08,2013-10-08
ARB 01,2013-11-08,2013-11-08
BOB 05,2013-11-13,2013-11-13
Helen,2013-11-19,2013-11-19
Lehar,2013-11-23,2013-11-23
Madi,2013-12-06,2013-12-06
10 systems,2013-05-10,2013-12-13
BOB 01,2014-01-04,2014-01-04
BOB 02,2014-05-21,2014-05-21
Nanauk,2014-06-10,2014-06-10
LAND 01,2014-07-21,2014-07-21
LAND 02,2014-08-04,2014-08-04
Hudhud,2014-10-07,2014-10-07
Nilofar,2014-10-25,2014-10-25
BOB 04,2014-11-05,2014-11-05
8 systems,2014-01-04,2014-11-08
Ashobaa,2015-06-07,2015-06-07
BOB 01,2015-06-20,2015-06-20
ARB 02,2015-06-22,2015-06-22
LAND 01,2015-07-10,2015-07-10
Komen,2015-07-26,2015-08-02
LAND 02,2015-07-27,2015-07-27
LAND 03,2015-08-04,2015-08-04
LAND 04,2015-09-16,2015-09-16
ARB 03,2015-10-09,2015-10-09
Chapala,2015-10-28,2015-11-04
Megh,2015-11-05,2015-11-05
BOB 03,2015-11-08,2015-11-08
12 systems,2015-06-07,2015-11-10
10 systems,2016-12-18,2016-12-18
Maarutha,2017-04-15,2017-04-15
Mora,2017-05-28,2017-05-28
BOB 03,2017-06-11,2017-06-11
BOB 04,2017-07-18,2017-07-18
LAND 01,2017-07-26,2017-07-26
LAND 02,2017-10-08,2017-10-08
BOB 05,2017-10-18,2017-10-18
BOB 06,2017-11-15,2017-11-15
Ockhi,2017-11-29,2017-12-06
BOB 08,2017-12-05,2017-12-05
10 systems,2017-04-15,2017-12-09
ARB 01,2018-03-13,2018-03-13
Sagar,2018-05-16,2018-05-16
Mekunu,2018-05-21,2018-05-21
BOB 01,2018-05-29,2018-05-29
LAND 01,2018-06-10,2018-06-10
LAND 02,2018-07-21,2018-07-21
LAND 03,2018-08-07,2018-08-07
LAND 04,2018-08-15,2018-08-15
LAND 05,2018-09-06,2018-09-06
Daye,2018-09-19,2018-09-19
Luban,2018-10-06,2018-10-06
Titli,2018-10-08,2018-10-08
Gaja,2018-11-10,2018-11-10
Phethai,2018-12-13,2018-12-13
14 systems,2018-03-13,2018-12-17
Pabuk,2019-01-04,2019-01-04
Fani,2019-04-26,2019-05-04
Vayu,2019-06-10,2019-06-10
BOB 03,2019-08-06,2019-08-06
Hikaa,2019-09-22,2019-09-22
LAND 01,2019-09-30,2019-10-01
Kyarr,2019-10-24,2019-11-01
Maha,2019-10-30,2019-11-07
Bulbul,2019-11-05,2019-11-05
Pawan,2019-12-02,2019-12-02
ARB 07,2019-12-03,2019-12-03
ARB 08,2019-12-08,2019-12-08
12 systems,2019-01-04,2019-12-10
Amphan,2020-05-16,2020-05-16
ARB 01,2020-05-29,2020-05-29
Nisarga,2020-06-01,2020-06-01
BOB 02,2020-10-11,2020-10-11
ARB 03,2020-10-17,2020-10-17
BOB 03,2020-10-22,2020-10-22
Gati,2020-11-21,2020-11-21
Nivar,2020-11-23,2020-11-23
Burevi,2020-11-30,2020-12-05
9 systems,2020-05-16,2020-12-05
BOB 01,2021-04-02,2021-04-02
Tauktae,2021-05-14,2021-05-14
Yaas,2021-05-23,2021-05-23
BOB 03,2021-09-12,2021-09-12
Gulab,2021-09-24,2021-09-24
Shaheen,2021-09-30,2021-10-04
ARB 03,2021-11-07,2021-11-07
BOB 05,2021-11-10,2021-11-10
BOB 06,2021-11-18,2021-11-18
Jawad,2021-12-02,2021-12-02
10 systems,2021-04-02,2021-12-06
15 systems,2022-03-03,2022-12-27
